ano,mes,chuva,evaporacao,insolacao,tempmed,umidrel,tempmax_abs,tempmax_med,tempmin_abs,tempmin_med
1975,1,136.0,134.9,224.7,24.2,70.9,34.4,30.7,14.6,18.9
1975,2,242.9,104.4,195.3,25.3,76.9,36.2,30.4,16.8,21.1
1975,3,125.1,101.1,192.8,23.9,79.1,33.7,29.9,17.3,19.7
1975,4,98.9,156.8,201.5,21.0,75.0,30.6,26.8,13.4,16.8
1975,5,66.3,95.5,203.6,18.1,72.1,29.0,23.8,9.0,14.3
1975,6,116.6,161.5,157.2,17.0,75.7,27.8,22.6,1.6,13.2
1975,7,72.7,127.1,219.2,15.3,61.5,29.4,22.0,-4.0,10.1
1975,8,98.5,126.9,166.4,20.0,67.8,32.2,25.9,6.0,15.6
1975,9,210.1,78.7,139.3,20.1,71.7,32.5,25.3,11.4,16.1
1975,10,170.4,112.2,187.7,20.5,69.8,34.2,26.0,9.9,15.9
1975,11,102.4,137.7,240.1,23.0,63.8,35.4,29.0,11.8,17.8
1975,12,102.4,137.7,240.1,23.0,63.8,35.4,29.0,11.8,17.8
1976,1,257.6,96.1,189.1,25.0,78.2,35.0,30.9,19.9,20.9
1976,2,67.9,102.8,238.2,24.3,68.6,34.0,30.4,15.1,19.3
1976,3,78.2,121.1,222.6,23.1,68.6,34.4,29.4,9.0,18.2
1976,4,139.5,181.6,234.7,19.9,69.5,32.4,26.5,6.4,14.8
1976,5,104.9,154.8,166.3,17.6,75.6,28.4,23.0,5.4,13.5
1976,6,87.4,84.7,158.4,15.1,73.1,28.6,20.5,2.0,11.3
1976,7,44.4,128.2,201.9,16.5,66.7,30.2,22.4,-1.0,11.9
1976,8,106.8,133.6,210.8,17.1,63.1,31.6,23.5,2.2,12.2
1976,9,79.8,113.7,146.9,18.1,70.1,32.2,23.5,6.8,13.6
1976,10,185.3,140.8,256.1,21.3,60.8,34.8,28.1,10.0,15.7
1976,11,103.9,167.0,237.8,23.2,60.6,34.6,29.6,9.2,17.4
1976,12,131.6,136.0,243.9,24.6,65.3,35.4,31.0,15.0,19.3
1977,1,194.5,131.6,179.4,25.0,75.0,35.3,30.2,19.0,21.1
1977,2,149.0,115.5,243.2,26.0,72.7,35.0,33.1,19.2,21.2
1977,3,214.8,113.4,205.5,24.7,79.5,36.0,30.8,16.0,20.4
1977,4,81.8,103.7,238.7,20.7,84.0,33.6,27.1,6.6,15.8
1977,5,23.6,101.1,207.1,19.3,72.7,30.2,25.9,2.0,14.6
